,Unnamed: 0,Name,First Price,Price,Discount,Product_link,Image Link
0,0,New Fashion Watch for Girls Analog Watch - For Girls,999,170,82% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
1,1,Girls Casual Designer Stylish Dial Classy Look Leathe G...,999,199,80% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
2,2,7142SM04 Analog Watch - For Men,"1,249",679,45% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
3,3,LCS-8188 TRENDING DAY & DATE FUNCTIONING Analog Watch ...,"1,799",299,83% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
4,4,FULL BLACK FANCY DIAL SPORT PU BELT WATCH & KING BRECEL...,"1,399",272,80% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
5,5,New Combo Of Square Dial Black and White Silicone Strap...,"1,299",287,77% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
6,6,1170-BL-BR Unique New Day & Date Analog Watch - For Me...,"1,699",299,82% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
7,7,Analog Watch - For Boys,599,159,73% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
8,8,TW0TG7300 Analog Watch - For Men,"1,399",599,57% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
9,9,PAIR LED-BANDBLK COMBO DIGITAL WATCH FOR GIRLS & BOYS D...,"1,100",259,76% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
10,10,Femine Elegant Watch With Antique Bracelet And Necklace...,"2,299",255,88% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
